;0;1;2;3
151;tt0034786;The Ghost of Frankenstein;1942;['Drama', ' Horror', ' Sci-Fi']
152;tt0034850;The Hidden Hand;1942;['Comedy', ' Horror', ' Mystery']
153;tt0034985;The Living Ghost;1942;['Horror', ' Mystery', ' Thriller']
154;tt0035007;The Mad Doctor of Market Street;1942;['Comedy', ' Drama', ' Horror']
155;tt0035009;The Mad Monster;1942;['Drama', ' Horror', ' Romance']
156;tt0035017;La main du diable;1943;['Fantasy', ' Horror']
157;tt0035031;Man with Two Lives;1942;['Horror', ' Thriller']
158;tt0035096;The Mummy's Tomb;1942;['Drama', ' Fantasy', ' Horror']
159;tt0035123;The Night Has Eyes;1942;['Horror', ' Mystery', ' Thriller']
160;tt0035124;Night Monster;1942;['Adventure', ' Drama', ' Horror']
161;tt0035386;The Strange Case of Doctor Rx;1942;['Horror', ' Mystery']
162;tt0035489;The Undying Monster;1942;['Drama', ' Horror', ' Mystery']
163;tt0035640;The Ape Man;1943;['Action', ' Drama', ' Horror']
164;tt0035706;Calling Dr. Death;1943;['Film-Noir', ' Horror', ' Mystery']
165;tt0035713;Captive Wild Woman;1943;['Horror', ' Sci-Fi']
166;tt0035784;Dead Men Walk;1943;['Drama', ' Horror', ' Mystery']
167;tt0035899;Frankenstein Meets the Wolf Man;1943;['Fantasy', ' Horror', ' Sci-Fi']
168;tt0036027;I Walked with a Zombie;1943;['Drama', ' Fantasy', ' Horror']
169;tt0036104;The Leopard Man;1943;['Horror', ' Thriller']
170;tt0036125;The Mad Ghoul;1943;['Horror', ' Sci-Fi', ' Thriller']
171;tt0036187;The Mysterious Doctor;1943;['Horror', ' Mystery', ' Thriller']
172;tt0036261;Phantom of the Opera;1943;['Drama', ' Horror', ' Music']
173;tt0036307;Revenge of the Zombies;1943;['Adventure', ' Comedy', ' Horror']
174;tt0036341;The Seventh Victim;1943;['Drama', ' Horror', ' Mystery']
175;tt0036376;Son of Dracula;1943;['Drama', ' Fantasy', ' Horror']
176;tt0036653;Bluebeard;1944;['Crime', ' Horror', ' Thriller']
177;tt0036715;The Climax;1944;['Horror', ' Music', ' Thriller']
178;tt0036731;Cry of the Werewolf;1944;['Crime', ' Drama', ' Horror']
179;tt0036733;The Curse of the Cat People;1944;['Drama', ' Horror', ' Mystery']
180;tt0036861;Ghost Catchers;1944;['Comedy', ' Horror', ' Music']
181;tt0036931;House of Frankenstein;1944;['Fantasy', ' Horror', ' Sci-Fi']
182;tt0036959;The Invisible Man's Revenge;1944;['Horror', ' Sci-Fi']
183;tt0036975;Jungle Woman;1944;['Drama', ' Fantasy', ' Horror']
184;tt0036999;The Lady and the Monster;1944;['Horror', ' Sci-Fi', ' Thriller']
185;tt0037024;The Lodger;1944;['Crime', ' Horror', ' Mystery']
186;tt0037084;The Monster Maker;1944;['Horror', ' Sci-Fi']
187;tt0037098;The Mummy's Curse;1944;['Action', ' Fantasy', ' Horror']
188;tt0037099;The Mummy's Ghost;1944;['Fantasy', ' Horror']
189;tt0037100;Murder in the Blue Room;1944;['Comedy', ' Horror', ' Musical']
190;tt0037151;One Body Too Many;1944;['Comedy', ' Horror', ' Mystery']
191;tt0037217;Return of the Ape Man;1944;['Horror', ' Romance', ' Sci-Fi']
192;tt0037219;The Return of the Vampire;1943;['Drama', ' Horror']
193;tt0037301;The Soul of a Monster;1944;['Drama', ' Horror', ' Romance']
194;tt0037387;La torre de los siete jorobados;1944;['Comedy', ' Fantasy', ' Horror']
195;tt0037415;The Uninvited;1944;['Fantasy', ' Horror', ' Mystery']
196;tt0037441;Voodoo Man;1944;['Crime', ' Drama', ' Horror']
197;tt0037453;Weird Woman;1944;['Horror', ' Mystery']
198;tt0037549;The Body Snatcher;1945;['Horror', ' Thriller']
199;tt0037635;Dead of Night;1945;['Drama', ' Horror']
200;tt0037711;Fog Island;1945;['Drama', ' Horror', ' Mystery']
201;tt0037722;The Frozen Ghost;1945;['Horror', ' Mystery', ' Romance']
202;tt0037793;House of Dracula;1945;['Fantasy', ' Horror', ' Sci-Fi']
203;tt0037820;Isle of the Dead;1945;['Drama', ' Horror', ' Mystery']
204;tt0037826;The Jade Mask;1945;['Horror', ' Mystery', ' Sci-Fi']
205;tt0037837;The Jungle Captive;1945;['Horror', ' Sci-Fi']
206;tt0037988;The Picture of Dorian Gray;1945;['Drama', ' Fantasy', ' Horror']
207;tt0037989;Pillow of Death;1945;['Film-Noir', ' Horror', ' Mystery']
208;tt0038124;Strange Confession;1945;['Crime', ' Drama', ' Horror']
209;tt0038129;Strangler of the Swamp;1946;['Drama', ' Fantasy', ' Horror']
210;tt0038214;The Vampire's Ghost;1945;['Horror']
211;tt0038258;Woman Who Came Back;1945;['Horror', ' Mystery']
212;tt0038270;Zombies on Broadway;1945;['Comedy', ' Fantasy', ' Horror']
213;tt0038338;The Beast with Five Fingers;1946;['Horror', ' Mystery']
214;tt0038343;Bedlam;1946;['Drama', ' Horror', ' Thriller']
215;tt0038387;The Brute Man;1946;['Drama', ' Horror', ' Thriller']
216;tt0038402;The Catman of Paris;1946;['Fantasy', ' Horror', ' Mystery']
217;tt0038470;Devil Bat's Daughter;1946;['Horror']
218;tt0038514;The Face of Marble;1946;['Horror']
219;tt0038531;The Flying Serpent;1946;['Horror']
220;tt0038621;House of Horrors;1946;['Adventure', ' Crime', ' Horror']
221;tt0038934;She-Wolf of London;1946;['Crime', ' Horror', ' Mystery']
222;tt0038974;The Spider Woman Strikes Back;1946;['Drama', ' Horror', ' Thriller']
223;tt0038975;The Spiral Staircase;1946;['Drama', ' Horror', ' Mystery']
224;tt0039076;Valley of the Zombies;1946;['Action', ' Drama', ' Horror']
225;tt0039492;Uncle Silas;1947;['Drama', ' Horror', ' Mystery']
226;tt0039897;Things Happen at Night;1948;['Comedy', ' Horror']
227;tt0040068;Bud Abbott Lou Costello Meet Frankenstein;1948;['Comedy', ' Fantasy', ' Horror']
228;tt0040254;The Creeper;1948;['Adventure', ' Horror']
229;tt0040273;Daughter of Darkness;1948;['Crime', ' Drama', ' Horror']
230;tt0040347;The Feathered Serpent;1948;['Comedy', ' Crime', ' Horror']
231;tt0040401;The Greed of William Hart;1948;['Drama', ' Horror']
232;tt0040452;House of Darkness;1948;['Horror']
233;tt0040472;Inner Sanctum;1948;['Film-Noir', ' Horror', ' Mystery']
234;tt0040829;The Amazing Mr. X;1948;['Film-Noir', ' Horror', ' Thriller']
235;tt0040920;Unknown Island;1948;['Adventure', ' Horror', ' Romance']
236;tt0041085;Bud Abbott Lou Costello Meet the Killer Boris Karloff;1949;['Comedy', ' Crime', ' Horror']
237;tt0041619;Mahal;1949;['Drama', ' Horror', ' Mystery']
238;tt0041644;Master Minds;1949;['Horror', ' Comedy']
239;tt0041776;The Queen of Spades;1949;['Drama', ' Fantasy', ' Horror']
240;tt0042059;Yotsuya kaidan;1949;['Horror']
241;tt0042423;The Dungeon of Harrow;1962;['Horror']
242;tt0043360;Bride of the Gorilla;1951;['Horror']
243;tt0043539;Five;1951;['Drama', ' Horror', ' Sci-Fi']
244;tt0043647;El hombre sin rostro;1950;['Horror', ' Mystery', ' Thriller']
245;tt0043778;The Man from Planet X;1951;['Horror', ' Romance', ' Sci-Fi']
246;tt0044061;The Son of Dr. Jekyll;1951;['Crime', ' Horror', ' Romance']
247;tt0044078;The Strange Door;1951;['Horror', ' Thriller']
248;tt0044121;The Thing from Another World;1951;['Horror', ' Sci-Fi']
249;tt0044344;Alraune;1952;['Horror', ' Sci-Fi']
250;tt0044406;Bela Lugosi Meets a Brooklyn Gorilla;1952;['Comedy', ' Horror', ' Sci-Fi']
251;tt0044423;The Black Castle;1952;['Horror', ' Mystery', ' Thriller']
252;tt0044656;Ghost Ship;1952;['Horror']
253;tt0044925;Mother Riley Meets the Vampire;1952;['Comedy', ' Horror']
254;tt0045283;Valkoinen peura;1952;['Drama', ' Fantasy', ' Horror']
255;tt0045469;Abbott and Costello Meet Dr. Jekyll and Mr. Hyde;1953;['Comedy', ' Horror', ' Mystery']
256;tt0045546;The Beast from 20,000 Fathoms;1953;['Horror', ' Sci-Fi']
257;tt0045699;Donovan's Brain;1953;['Sci-Fi', ' Horror']
258;tt0045888;House of Wax;1953;['Horror']
259;tt0045920;It Came from Outer Space;1953;['Horror', ' Sci-Fi']
260;tt0046026;The Magnetic Monster;1953;['Horror', ' Sci-Fi']
261;tt0046057;The Maze;1953;['Drama', ' Fantasy', ' Horror']
262;tt0046066;Mesa of Lost Women;1953;['Horror', ' Sci-Fi']
263;tt0046121;The Neanderthal Man;1953;['Horror', ' Sci-Fi']
264;tt0046186;Phantom from Space;1953;['Horror', ' Sci-Fi']
265;tt0046248;Robot Monster;1953;['Comedy', ' Horror', ' Sci-Fi']
266;tt0046280;Scared Stiff;1953;['Comedy', ' Horror', ' Musical']
267;tt0046802;The Bowery Boys Meet the Monsters;1954;['Horror', ' Comedy', ' Sci-Fi']
268;tt0046876;Creature from the Black Lagoon;1954;['Horror', ' Sci-Fi']
269;tt0046907;Devil Girl from Mars;1954;['Horror', ' Sci-Fi']
270;tt0046911;Les diaboliques;1955;['Crime', ' Drama', ' Horror']
271;tt0047033;Gog;1954;['Drama', ' Horror', ' Romance']
272;tt0047034;Gojira;1954;['Action', ' Drama', ' Horror']
273;tt0047149;Killers from Space;1954;['Horror', ' Mystery', ' Sci-Fi']
274;tt0047200;The Mad Magician;1954;['Horror', ' Mystery', ' Thriller']
275;tt0047244;Monster from the Ocean Floor;1954;['Horror', ' Sci-Fi']
276;tt0047348;Phantom of the Rue Morgue;1954;['Crime', ' Horror', ' Mystery']
277;tt0047507;The Snow Creature;1954;['Horror', ' Sci-Fi']
278;tt0047559;Target Earth;1954;['Horror', ' Sci-Fi']
279;tt0047573;Them!;1954;['Horror', ' Sci-Fi']
280;tt0047577;This Island Earth;1955;['Horror', ' Mystery', ' Sci-Fi']
281;tt0047898;Bride of the Monster;1955;['Horror', ' Sci-Fi']
